,index1,context,Label,혐오 대상,혐오대상(세부),cluster10,cluster20,cluster30
0,16191,혹시나 했는데 역시 헌금때문에 하는게 맞군요,정상,,,2,11,22
1,24855,배추앓이님 얼마나 당황스럽겠읍니까 ㅋㅋ,정상,,,7,5,1
2,20864,작년 연말에 기독교랑 이슬람이랑 막 총질해대지 않았나,정상,,,4,4,27
6,12985,비율 와,정상,,,3,11,22
7,22660,이짤 줏었는데 ㅋㅋㅋ 수박타령 똥파리타령 암컷타령 표 주는 사람이 이상하지 ㅋㅋ 그니까 와서 협박질을 ㅋㅋ 시간낭비야 애초에 이사람도 우리표 필요없댔는데 와서 난리야 ㅋㅋㅋ,정상,,,5,17,26
10,7218,개토나오네,정상,,,3,5,23
11,8790,아프리카 남자들은 ㄹㅇ 고인물이고 여자들은 스타대학하면서 그나마 스펙트럼이 넓어진거다그와중에도 또펙트럼,정상,,,6,12,13
13,23977,의견에 반대한다기보다 전체적인 틀에서는 찬성합니다만 과거에는 그냥 평범한 문제에 불과한것을 지나치도록 물고 뜯는 이슈들 여자스모 토키오 멤버 성추행 아소 퇴진 문제 을 보면서 일본의 분위기를 지나친 낙관론으로 보기엔 좀 아니다란걸 전하고 싶었을따름입니다,정상,,,8,19,16
16,10765,중국인을 왜 우리 세금으로 챙겨주나요,정상,,,0,8,15
19,925,"국민의힘 해체하라 경찰, 대구시당 난입 대학생 5명 체포대구경북대학생진보연합 소속 대학생들이 경찰과 몸싸움을 하고 있다 대구 연합뉴스 국민의힘 대구시당 당사에 무단으로 침입한 대학생들이 경찰에 붙잡혔다 4일 국민의힘 대구시당 등에 따르면 이날 오전 11시 10분쯤 대",정상,,,2,7,8
20,23324,같이 일 한적 없다고,정상,,,9,9,14
22,11815,적폐청산을 저 시기에 할 수 있었는데 적폐랑 손잡음,정상,,,7,17,10
24,11973,계속 이대로만 해라 전라도 원숭이 다문화 똥꼬충 보혐 개독 이패턴이 진짜 일베 아니겠냐,맥락적 정상,"['성소수자', '지역', '종교']","['호남권', '게이관련', '기독교계']",2,0,19
26,9453,무슨 말인지 대충 봐서는 성적소수자가 아니라 변태를 말한 거 같은데요,정상,['성소수자'],['일반성소수자'],6,19,16
27,26970,역대급 개소리ㅋㅋ 그냥 웃습니다,정상,,,3,6,4
28,21455,--------부추전 마감입니다-------,정상,,,3,18,7
29,20241,"쉬운 결론 뉴 라이트는 간단히 말하자면 말 그대로 신 우익을 자칭하는 집단으로, 크게 뉴라이트 재단과 뉴라이트 전국연합 둘로 나눌 수 있겠습니다 정치적으로 우파의 기준은 보수주의적 성향으로 현재 체제를 옹호하고 변화를 거부하는 것이라고 보면 맞겠습니다 그중에서도 신우익을 자처하는 이들은 정말 신기한 성향을 가지고 있는데 간략히 적어보겠습니다 뉴라이트 재단은 과거 친일성 발언으로 문제가 많았던 안병직이 이사장으로 있었습니다 뉴라이트 재단 시대정신으로 개명했었죠 대표적으로 위안부는 자발적 행동이었다느니 강제 동원 흔적이 없다 , 독도는 강제 점령중이다 라는 일본과 비슷한 망언을 하였습니다 대한민국에서 사리판별이 가능한 성인이라면 이런 정신나간 발언을 왜 하는지 이해가 가지 않겠죠 뉴라이트 전국 연합은 겉으로 자유시장경제에 신봉집단을 표방하지만 실상은 한국만의 변질된 기독교 정치집단 형태를 띄고 있습니다 대표 주자로 일컬어지는 김진홍 목사는 광주민주화운동이 386친북세대를 기른 온상이라는 메일을 뿌릴정도로 지역감정의 조장과 왜곡의 대표주자죠 뉴라이트의 또라이적 행동들은 단순한 인터넷 검색만으로 무수히 드러납니다 친일매국노들이 인터넷을 이용하기도 하지만 극도로 혐오하는데는 이러한 사실들이 쉬이 드러나기 때문이겠지요 안타까운 현실은 이러한 사실에 전혀 관심이 없는 국민들도 대부분이고 영리한 매국노들은 우민들을 속이기에 바쁩니다 우리나라에 정상적인 민주주의가 자리잡을날이 오긴 할까요 매국 종자들이 자라나는 아이들의 교과서까지 손대려고 하는 현실에 분통터질 뿐입니다 더러운 끄나풀들을 줘 패고 싶은 쓰랄횽 씀 출처 오늘의 유머",정상,,,8,3,9
32,15902,"전 게이를 포함해 lgbt라 불리는 성소수자들을 혐오해 왔습니다 그 편견을 없애준 사람이 홍석천씨라 참 고맙게 생각합니다 성소수자들은 왠지 혐오스러웠는데 tv에서 홍석천씨를 보면 전혀 혐오스럽지 않았거든요 항상 유쾌하고 덕분에 웃을수 있었던 기억 뿐이었습니다 안타깝고, 힘들었겠다는 생각과 함께요 결국 혐오의 대상이 lgbt에 해당되는 사람이 아니라그게 아무문제도 아니고, 단지 다를뿐이라며받아들이지 못하는 사람은 시대에 뒤처지고, 쿨하지 못한 사람이라는 것처럼 몰아가는 사람 본인들의 성적 정체성과 이념, 사상을 받아들이도록 강요하는 사람들었다는 생각이 들더군요 홍석천씨 덕에 크게 웃었던 짤 하나 공유 합니다",정상,,,6,19,16
33,3444,과거미화는 시간이 지나면 누구나 갖을수 밖에 없는거 같음... 근데 요즘애들 범죄질을 보삼....심각하지않나요? 그리고 부모님도 다 틀딱에 개저씨 꼰대라고 할 수 있나요?,맥락적 정상,['연령'],['세대관련'],5,14,11
37,6328,강남 케이크가 아니여서 ㅋㅋㅋ,정상,,,7,10,0
42,26960,35년 풀로 갔드ㅇㅏㅏ,정상,,,3,6,28
46,5960,조상 표현 수준하고는 이럴꺼면 걍 안오는게 낫겠다,정상,,,9,0,20
47,10759,교회때문에 사단이 나는구나,정상,,,4,4,27
48,1592,너처럼 눈치빠른 꼬마는 질색이란다 꼼지야 TS빔을 쏘며,정상,,,5,14,1
